date,TE_8332A.AV_0#
2022-03-29 05:55:04,532.81
2022-03-29 05:55:09,532.88
2022-03-29 05:55:14,532.81
2022-03-29 05:55:19,532.81
2022-03-29 05:55:24,532.78
2022-03-29 05:55:29,532.78
2022-03-29 05:55:34,532.78
2022-03-29 05:55:39,532.72
2022-03-29 05:55:44,532.7225705709927
2022-03-29 05:55:49,532.72
2022-03-29 05:55:54,532.65
2022-03-29 05:55:59,532.65
2022-03-29 05:56:04,532.59
2022-03-29 05:56:09,532.59
2022-03-29 05:56:14,532.65
2022-03-29 05:56:19,532.65
2022-03-29 05:56:24,532.59
2022-03-29 05:56:29,532.59
2022-03-29 05:56:34,532.59
2022-03-29 05:56:39,532.59
2022-03-29 05:56:44,532.59
2022-03-29 05:56:49,532.59
2022-03-29 05:56:54,532.59
2022-03-29 05:56:59,532.59
2022-03-29 05:57:04,532.59
2022-03-29 05:57:09,532.57740037307
2022-03-29 05:57:14,532.59
2022-03-29 05:57:19,532.65
2022-03-29 05:57:24,532.65
