dataset_name,missing_data_type,missing_rate,iteration_nr,fixing_method,difference
boiler,MAR,20p,10,mtfunet,157444.00830379542
lake1,MNAR,2p,8,interpolatenearest,16.717100000000187
lake1,MCAR,20p,1,rpsd2all4,1080.381369904073
lake1,MAR,5p,4,interpolatepchip,15.847055194172981
pump,MAR,50p,4,imputemode,38552575.6146697
boiler,MCAR,20p,6,interpolatepolynomial,541.7458907531809
lake2,MAR,5p,9,interpolatepchip,74.97256494812495
vibr,MNAR,5p,5,imputeffill,43.195285537949886
vibr,MAR,5p,9,imputeffill,115.96561471922547
lake1,MCAR,50p,10,interpolatepchip,261.95740936935033
lake2,MCAR,20p,8,mtfsd2all4,1387.7903901816933
vibr,MCAR,2p,5,imputebfill,49.90331339556337
pump,MNAR,50p,10,mtfsd2all4,29191158.779218603
pump,MCAR,5p,9,interpolateakima,97286.7746407731
lake2,MAR,50p,3,rpunet,2598.486580736613
pump,MAR,5p,1,rpsd2all4,9051240.99105867
lake1,MAR,2p,1,mtfunet,154.95447819568636
vibr,MCAR,2p,2,gafsd2all4,49.52997025682058
pump,MAR,20p,1,imputebfill,504354.0248009414
boiler,MAR,20p,1,rpsd2all4,153126.3060564717
pump,MAR,5p,4,mtfunet,5833592.176295157
lake3,MCAR,20p,4,imputeffill,166.24980000000016
lake3,MNAR,2p,1,interpolateakima,9.277314369881651
vibr,MNAR,20p,3,interpolateakima,376.89737338133074
lake1,MCAR,5p,4,interpolatepchip,16.1250112911963
pump,MCAR,5p,2,rpunet,7239012.678119114
vibr,MCAR,20p,2,interpolatelinear,341.6773773125782
lake2,MAR,2p,10,gafunet,183.08391285952655
lake3,MNAR,50p,8,interpolatelinear,431.06003071761546
vibr,MNAR,5p,4,gafunet,124.71128605108103
boiler,MAR,2p,6,imputebfill,85.34000000000185
boiler,MCAR,20p,6,mtfsd2all4,208974.43868900795
lake2,MCAR,50p,1,interpolatenearest,696.2669000000012
pump,MAR,5p,9,interpolateindex,86299.39451269877
